	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_saudiense_c_saudiense@contig1_1	c_saudiense	c_saudiense@contig1	1	1	1362	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.20]; Bacterial dnaA protein helix-turn-helix [PF08299.13]; IstB-like ATP binding protein [PF01695.19]; DnaA N-terminal domain [PF11638.10]		0
c_saudiense_c_saudiense@contig1_2	c_saudiense	c_saudiense@contig1	2	1635	2735	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.18]; DNA polymerase III beta subunit, N-terminal domain [PF00712.21]; DNA polymerase III beta subunit, C-terminal domain [PF02768.17]		0
c_saudiense_c_saudiense@contig1_3	c_saudiense	c_saudiense@contig1	3	2778	2984	1	C	K14761	ribosome-associated protein								S4 domain [PF13275.8]		0
c_saudiense_c_saudiense@contig1_4	c_saudiense	c_saudiense@contig1	4	3050	4135	1	C	K03629	DNA replication and repair protein RecF								RecF/RecN/SMC N terminal domain [PF02463.21]; AAA domain [PF13476.8]		0
c_saudiense_c_saudiense@contig1_5	c_saudiense	c_saudiense@contig1	5	4149	4409	1	C	K24648	extracellular matrix regulatory protein B								Domain of unknown function (DUF370) [PF04025.14]		0
c_saudiense_c_saudiense@contig1_6	c_saudiense	c_saudiense@contig1	6	4463	6379	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.27]; DNA gyrase B subunit, carboxyl terminus [PF00986.23]; Toprim domain [PF01751.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.28]		0
c_saudiense_c_saudiense@contig1_7	c_saudiense	c_saudiense@contig1	7	6413	8959	1	C	K02469	DNA gyrase subunit A [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.22]; DNA gyrase C-terminal domain, beta-propeller [PF03989.15]		0
c_saudiense_c_saudiense@contig1_8	c_saudiense	c_saudiense@contig1	8	9696	10136	1	E												0
c_saudiense_c_saudiense@contig1_9	c_saudiense	c_saudiense@contig1	9	15232	15672	1	E												0
c_saudiense_c_saudiense@contig1_10	c_saudiense	c_saudiense@contig1	10	20130	20624	1	D										HD domain [PF01966.24]		0
c_saudiense_c_saudiense@contig1_11	c_saudiense	c_saudiense@contig1	11	20640	21146	1	C	K07105	uncharacterized protein								3H domain [PF02829.16]		0
c_saudiense_c_saudiense@contig1_12	c_saudiense	c_saudiense@contig1	12	21164	22576	1	D										FAD dependent oxidoreductase [PF01266.26]; Sarcosine oxidase A3 domain [PF17806.3]; BFD-like [2Fe-2S] binding domain [PF04324.17]		0
c_saudiense_c_saudiense@contig1_13	c_saudiense	c_saudiense@contig1	13	22589	22822	1	D										Protein of unknown function (DUF1667) [PF07892.13]		0
c_saudiense_c_saudiense@contig1_14	c_saudiense	c_saudiense@contig1	14	23137	24414	1	C	K01875	seryl-tRNA synthetase [EC:6.1.1.11]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.27]; Seryl-tRNA synthetase N-terminal domain [PF02403.24]		0
c_saudiense_c_saudiense@contig1_15	c_saudiense	c_saudiense@contig1	15	24649	25506	1	D										Domain of unknown function (DUF2520) [PF10728.11]; Rossmann-like domain [PF10727.11]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]		0
c_saudiense_c_saudiense@contig1_16	c_saudiense	c_saudiense@contig1	16	25510	26337	1	C	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]								Ketopantoate hydroxymethyltransferase [PF02548.17]		0
c_saudiense_c_saudiense@contig1_17	c_saudiense	c_saudiense@contig1	17	26350	27195	1	C	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]								Pantoate-beta-alanine ligase [PF02569.17]		0
c_saudiense_c_saudiense@contig1_18	c_saudiense	c_saudiense@contig1	18	27212	27598	1	C	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]								Aspartate decarboxylase [PF02261.18]		0
