	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_filamentum_b3_c_filamentum_b3@contig1_1	c_filamentum_b3	c_filamentum_b3@contig1	1	1	1362	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.20]; Bacterial dnaA protein helix-turn-helix [PF08299.13]; IstB-like ATP binding protein [PF01695.19]; DnaA N-terminal domain [PF11638.10]		0
c_filamentum_b3_c_filamentum_b3@contig1_2	c_filamentum_b3	c_filamentum_b3@contig1	2	1635	2735	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.18]; DNA polymerase III beta subunit, N-terminal domain [PF00712.21]; DNA polymerase III beta subunit, C-terminal domain [PF02768.17]		0
c_filamentum_b3_c_filamentum_b3@contig1_3	c_filamentum_b3	c_filamentum_b3@contig1	3	2754	2984	1	C	K14761	ribosome-associated protein								S4 domain [PF13275.8]; S4 domain [PF01479.27]		0
c_filamentum_b3_c_filamentum_b3@contig1_4	c_filamentum_b3	c_filamentum_b3@contig1	4	3050	4135	1	C	K03629	DNA replication and repair protein RecF								RecF/RecN/SMC N terminal domain [PF02463.21]; AAA domain [PF13476.8]		0
c_filamentum_b3_c_filamentum_b3@contig1_5	c_filamentum_b3	c_filamentum_b3@contig1	5	4149	4409	1	C	K24648	extracellular matrix regulatory protein B								Domain of unknown function (DUF370) [PF04025.14]		0
c_filamentum_b3_c_filamentum_b3@contig1_6	c_filamentum_b3	c_filamentum_b3@contig1	6	4462	6378	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.27]; DNA gyrase B subunit, carboxyl terminus [PF00986.23]; Toprim domain [PF01751.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.28]		0
c_filamentum_b3_c_filamentum_b3@contig1_7	c_filamentum_b3	c_filamentum_b3@contig1	7	6412	8958	1	C	K02469	DNA gyrase subunit A [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.22]; DNA gyrase C-terminal domain, beta-propeller [PF03989.15]		0
c_filamentum_b3_c_filamentum_b3@contig1_8	c_filamentum_b3	c_filamentum_b3@contig1	8	9714	10154	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_9	c_filamentum_b3	c_filamentum_b3@contig1	9	15881	16321	1	E												0
c_filamentum_b3_c_filamentum_b3@contig1_10	c_filamentum_b3	c_filamentum_b3@contig1	10	21161	21655	1	D										HD domain [PF01966.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_11	c_filamentum_b3	c_filamentum_b3@contig1	11	21671	22177	1	C	K07105	uncharacterized protein								3H domain [PF02829.16]		0
c_filamentum_b3_c_filamentum_b3@contig1_12	c_filamentum_b3	c_filamentum_b3@contig1	12	22195	23607	1	D										FAD dependent oxidoreductase [PF01266.26]; BFD-like [2Fe-2S] binding domain [PF04324.17]; Sarcosine oxidase A3 domain [PF17806.3]		0
c_filamentum_b3_c_filamentum_b3@contig1_13	c_filamentum_b3	c_filamentum_b3@contig1	13	23621	23854	1	D										Protein of unknown function (DUF1667) [PF07892.13]		0
c_filamentum_b3_c_filamentum_b3@contig1_14	c_filamentum_b3	c_filamentum_b3@contig1	14	24163	25440	1	C	K01875	seryl-tRNA synthetase [EC:6.1.1.11]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.27]; Seryl-tRNA synthetase N-terminal domain [PF02403.24]		0
c_filamentum_b3_c_filamentum_b3@contig1_15	c_filamentum_b3	c_filamentum_b3@contig1	15	25797	26657	1	D										Domain of unknown function (DUF2520) [PF10728.11]; Rossmann-like domain [PF10727.11]		0
c_filamentum_b3_c_filamentum_b3@contig1_16	c_filamentum_b3	c_filamentum_b3@contig1	16	26642	27469	1	C	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]								Ketopantoate hydroxymethyltransferase [PF02548.17]		0
c_filamentum_b3_c_filamentum_b3@contig1_17	c_filamentum_b3	c_filamentum_b3@contig1	17	27484	28329	1	C	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]								Pantoate-beta-alanine ligase [PF02569.17]		0
c_filamentum_b3_c_filamentum_b3@contig1_18	c_filamentum_b3	c_filamentum_b3@contig1	18	28349	28735	1	C	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]								Aspartate decarboxylase [PF02261.18]		0
c_filamentum_b3_c_filamentum_b3@contig1_19	c_filamentum_b3	c_filamentum_b3@contig1	19	29727	30668	1	C	K00845	glucokinase [EC:2.7.1.2]								ROK family [PF00480.22]; BadF/BadG/BcrA/BcrD ATPase family [PF01869.22]		0
c_filamentum_b3_c_filamentum_b3@contig1_20	c_filamentum_b3	c_filamentum_b3@contig1	20	30952	34383	1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]								Exodeoxyribonuclease V, gamma subunit [PF04257.16]; PD-(D/E)XK nuclease superfamily [PF12705.9]; UvrD-like helicase C-terminal domain [PF13361.8]		0
c_filamentum_b3_c_filamentum_b3@contig1_21	c_filamentum_b3	c_filamentum_b3@contig1	21	34386	38141	1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]								UvrD/REP helicase N-terminal domain [PF00580.23]; UvrD-like helicase C-terminal domain [PF13361.8]; PD-(D/E)XK nuclease superfamily [PF12705.9]; AAA domain [PF13245.8]		0
